sample_id,image_path,class_name,context_name,split,class_id,context_id,group_id
sample_00000000,data/processed/nico/autumn/airplane/autumn_0000001.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000002,data/processed/nico/autumn/airplane/autumn_0000003.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000003,data/processed/nico/autumn/airplane/autumn_0000004.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000004,data/processed/nico/autumn/airplane/autumn_0000005.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000005,data/processed/nico/autumn/airplane/autumn_0000006.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000007,data/processed/nico/autumn/airplane/autumn_0000008.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000010,data/processed/nico/autumn/airplane/autumn_0000010.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000011,data/processed/nico/autumn/airplane/autumn_0000011.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000015,data/processed/nico/autumn/airplane/autumn_0000015.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000016,data/processed/nico/autumn/airplane/autumn_0000016.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000017,data/processed/nico/autumn/airplane/autumn_0000017.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000018,data/processed/nico/autumn/airplane/autumn_0000018.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000022,data/processed/nico/autumn/airplane/autumn_0000021.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000023,data/processed/nico/autumn/airplane/autumn_0000022.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000025,data/processed/nico/autumn/airplane/autumn_0000024.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000028,data/processed/nico/autumn/airplane/autumn_0000027.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000029,data/processed/nico/autumn/airplane/autumn_0000028.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000030,data/processed/nico/autumn/airplane/autumn_0000029.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000031,data/processed/nico/autumn/airplane/autumn_000003.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000032,data/processed/nico/autumn/airplane/autumn_0000030.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000035,data/processed/nico/autumn/airplane/autumn_0000033.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000038,data/processed/nico/autumn/airplane/autumn_0000036.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000039,data/processed/nico/autumn/airplane/autumn_0000037.jpg,airplane,autumn,train,0,0,airplane__autumn
